
------------Variable------------
Neural name	4-4-1
Activation func	tanh
Learning rate	0.2
Momentum	0.3
Epoch		100
TrainingFile	iris.pat

------------Testing-------------

Features 		Output			Desired class
6.4 2.7 5.3 1.9 	[ 2.9581499591] 	3
6.3 3.3 4.7 1.6 	[ 2.2060341511] 	2
5.5 2.5 4.0 1.3 	[ 2.1701454766] 	2
6.8 3.2 5.9 2.3 	[ 2.9596392543] 	3
5.8 2.7 5.1 1.9 	[ 2.9583478895] 	3
6.8 3.0 5.5 2.1 	[ 2.9583118011] 	3
5.0 3.2 1.2 0.2 	[ 0.9809806454] 	1
6.5 3.0 5.2 2.0 	[ 2.9544006271] 	3
5.3 3.7 1.5 0.2 	[ 0.9769744697] 	1
4.3 3.0 1.1 0.1 	[ 0.9533043036] 	1
5.9 3.2 4.8 1.8 	[ 2.9150749971] 	2
4.9 3.1 1.5 0.2 	[ 1.0014211848] 	1
7.2 3.2 6.0 1.8 	[ 2.9555407125] 	3
5.8 2.8 5.1 2.4 	[ 2.9591970157] 	3
5.4 3.4 1.7 0.2 	[ 1.0034632188] 	1
6.2 2.2 4.5 1.5 	[ 2.7104059174] 	2
5.8 2.7 5.1 1.9 	[ 2.9583478895] 	3
6.2 3.4 5.4 2.3 	[ 2.9592878591] 	3
6.6 2.9 4.6 1.3 	[ 2.1035097552] 	2
5.0 3.6 1.4 0.2 	[ 0.9720091510] 	1
4.7 3.2 1.3 0.2 	[ 0.9778282820] 	1
6.0 3.0 4.8 1.8 	[ 2.9269508513] 	3
5.4 3.7 1.5 0.2 	[ 0.9785139644] 	1
5.8 2.7 3.9 1.2 	[ 2.0533982832] 	2
6.5 3.0 5.5 1.8 	[ 2.9568053077] 	3
6.3 2.5 5.0 1.9 	[ 2.9567570337] 	3
5.7 3.8 1.7 0.3 	[ 0.9942259319] 	1
5.5 3.5 1.3 0.2 	[ 0.9808280066] 	1
5.4 3.9 1.7 0.4 	[ 0.9946736488] 	1
5.0 3.0 1.6 0.2 	[ 1.0214950786] 	1
4.9 3.0 1.4 0.2 	[ 1.0023165049] 	1
4.8 3.0 1.4 0.1 	[ 0.9842349538] 	1
6.1 2.8 4.0 1.3 	[ 2.0691029877] 	2
5.0 2.0 3.5 1.0 	[ 2.0518423995] 	2
5.4 3.0 4.5 1.5 	[ 2.8288214272] 	2
5.7 2.5 5.0 2.0 	[ 2.9584733588] 	3
5.0 3.3 1.4 0.2 	[ 0.9849052803] 	1
6.4 2.8 5.6 2.2 	[ 2.9593079036] 	3
6.9 3.1 4.9 1.5 	[ 2.1407906798] 	2
5.9 3.0 5.1 1.8 	[ 2.9563478588] 	3
5.7 3.0 4.2 1.2 	[ 2.0590651805] 	2
4.6 3.2 1.4 0.2 	[ 0.9796406838] 	1
4.9 3.1 1.5 0.1 	[ 0.9866075725] 	1
4.7 3.2 1.6 0.2 	[ 0.9946173804] 	1
6.8 2.8 4.8 1.4 	[ 2.1473887935] 	2
5.8 4.0 1.2 0.2 	[ 0.9691348188] 	1
5.0 3.4 1.6 0.4 	[ 1.0177670186] 	1
5.7 2.8 4.1 1.3 	[ 2.0926737616] 	2
7.9 3.8 6.4 2.0 	[ 2.9425426404] 	3
5.1 3.3 1.7 0.5 	[ 1.0611916171] 	1
4.4 3.2 1.3 0.2 	[ 0.9682682783] 	1
4.6 3.4 1.4 0.3 	[ 0.9811710708] 	1
4.6 3.6 1.0 0.2 	[ 0.9549219669] 	1
6.7 3.3 5.7 2.5 	[ 2.9597574336] 	3
5.7 2.9 4.2 1.3 	[ 2.1018744776] 	2
6.3 2.7 4.9 1.8 	[ 2.9389289838] 	3
5.1 3.5 1.4 0.2 	[ 0.9776716467] 	1
6.4 2.9 4.3 1.3 	[ 2.0835710002] 	2
4.8 3.4 1.6 0.2 	[ 0.9842637591] 	1
6.7 2.5 5.8 1.8 	[ 2.9588955362] 	3
7.7 2.8 6.7 2.0 	[ 2.9596606199] 	3
5.2 3.4 1.4 0.2 	[ 0.9839886640] 	1
6.1 3.0 4.6 1.4 	[ 2.2025890554] 	2
4.8 3.0 1.4 0.3 	[ 1.0167681384] 	1
6.3 3.3 6.0 2.5 	[ 2.9595355980] 	3
6.4 3.2 4.5 1.5 	[ 2.1056397100] 	2
4.9 2.4 3.3 1.0 	[ 1.9656296456] 	2
5.7 2.6 3.5 1.0 	[ 1.9822946349] 	2
6.9 3.1 5.1 2.3 	[ 2.9466216899] 	3
5.6 3.0 4.1 1.3 	[ 2.0715586354] 	2
6.4 3.2 5.3 2.3 	[ 2.9591261617] 	3
5.0 2.3 3.3 1.0 	[ 1.9820195995] 	2
5.7 2.8 4.5 1.3 	[ 2.3976081351] 	2
5.1 3.5 1.4 0.3 	[ 0.9872025678] 	1
6.4 3.1 5.5 1.8 	[ 2.9569366809] 	3
7.2 3.0 5.8 1.6 	[ 2.9285890107] 	3
6.0 2.2 5.0 1.5 	[ 2.9553210046] 	3
5.0 3.4 1.5 0.2 	[ 0.9843105661] 	1
7.7 2.6 6.9 2.3 	[ 2.9597021823] 	3
5.5 4.2 1.4 0.2 	[ 0.9658226666] 	1
5.2 4.1 1.5 0.1 	[ 0.9605138626] 	1
5.6 2.7 4.2 1.3 	[ 2.1880088819] 	2
5.1 3.8 1.9 0.4 	[ 1.0082622921] 	1
7.4 2.8 6.1 1.9 	[ 2.9590444233] 	3
